Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,Suggested Job Role
69,63,78,87,94,94,87,84,61,9,4,0,4,8,7
78,62,73,60,71,70,73,84,91,12,7,1,2,3,18
71,86,91,87,61,81,72,72,94,11,1,4,1,3,18
76,87,60,84,89,73,62,88,69,7,1,1,2,5,28
92,62,90,67,71,89,73,71,73,4,5,4,6,3,2
88,86,62,79,93,84,69,71,82,11,5,3,8,1,25
93,77,69,79,90,93,73,63,77,6,3,2,3,3,7
84,72,88,62,66,63,78,94,60,12,2,1,6,6,1
73,66,66,81,81,69,61,87,90,10,5,2,4,8,2
62,76,85,91,82,69,63,63,81,10,9,0,5,4,4
73,80,70,83,61,82,75,94,89,8,6,2,3,9,14
63,76,81,90,70,72,86,89,85,8,3,6,9,7,32
63,64,61,67,61,70,65,64,79,8,2,2,8,6,4
68,93,77,60,77,81,67,81,91,12,5,3,6,5,2
90,83,66,71,65,67,86,63,62,9,6,2,3,8,21
94,71,63,74,61,69,65,62,68,4,7,6,5,8,33
60,92,94,90,62,94,62,73,60,11,7,5,5,4,33
92,86,61,63,64,65,92,65,60,4,9,6,3,4,11
82,91,68,86,78,61,91,82,82,12,8,0,7,1,3
90,73,90,67,63,88,67,60,69,12,6,0,2,8,11
67,61,66,62,93,91,88,88,70,4,5,0,2,5,7
65,61,73,90,89,74,82,60,84,5,8,3,2,8,2
84,62,70,70,67,65,78,61,65,4,9,6,4,5,21
74,89,66,75,86,61,63,80,69,9,9,5,7,6,31
92,67,76,92,69,90,80,77,66,4,7,5,5,1,31
75,74,85,93,92,80,87,78,91,12,5,0,4,7,11
90,82,75,72,84,79,83,68,67,4,8,5,1,8,1
71,60,93,79,78,93,90,76,75,12,9,1,3,5,20
83,82,64,70,93,73,87,83,87,11,1,0,1,8,13
83,68,70,90,85,75,90,92,85,4,3,1,2,6,33
89,88,65,78,87,63,75,71,90,4,2,3,9,8,19
74,70,93,85,82,94,71,93,75,11,5,6,3,1,2
80,85,68,64,86,62,78,87,87,7,7,4,7,5,28
70,67,64,82,77,72,87,68,65,10,9,0,2,5,2
76,63,84,85,61,76,65,87,76,11,8,4,2,9,9
66,74,78,85,68,69,86,83,80,9,8,6,2,9,26
83,83,62,82,61,77,89,82,78,11,3,6,9,5,2
66,71,72,60,93,65,81,78,94,9,8,5,7,4,27
70,71,65,84,86,72,79,68,63,8,8,0,4,7,16
78,85,80,85,83,74,82,70,62,10,6,2,1,8,5
74,67,94,65,94,83,93,81,84,5,5,1,6,9,4
85,74,70,69,87,92,71,94,64,5,9,1,1,9,22
61,71,77,82,70,65,65,60,94,5,3,2,6,7,10
71,83,80,71,85,60,63,93,88,11,7,4,8,1,30
67,83,86,63,82,71,70,64,78,8,9,0,5,8,27
76,82,76,62,94,90,92,79,73,5,5,6,8,4,12
69,81,74,62,60,82,82,75,70,4,7,4,2,9,16
81,83,63,78,66,63,75,85,78,7,7,6,5,5,8
79,73,77,91,84,68,82,63,84,9,7,1,3,5,33
73,78,76,75,71,66,92,91,81,10,5,5,9,5,11
69,71,88,82,88,71,83,93,92,12,2,1,1,5,10
75,84,63,90,77,81,71,63,69,11,4,3,2,4,30
73,69,63,90,64,60,80,78,78,4,5,0,6,2,0
62,92,83,84,93,68,88,74,71,6,8,1,4,6,25
69,73,86,91,77,60,84,67,73,10,3,5,2,8,4
69,62,64,67,71,87,79,60,77,10,6,3,7,8,8
65,78,80,93,87,60,85,67,68,8,3,0,4,3,31
76,87,80,67,66,66,80,74,75,5,9,6,1,7,6
74,85,64,72,67,64,62,73,92,9,5,0,7,9,15
86,63,73,94,70,67,91,92,93,6,3,4,3,8,14
64,69,76,62,63,67,86,66,75,4,7,0,4,4,30
93,94,70,85,68,91,69,78,86,7,2,2,8,7,31
94,74,75,74,65,74,63,85,89,7,6,5,6,5,13
88,62,67,73,90,80,76,67,70,10,1,3,6,5,10
76,91,84,66,84,87,61,79,64,10,2,5,1,8,22
80,75,83,75,85,62,74,70,61,9,8,2,1,8,26
75,74,72,90,94,86,64,75,70,8,3,5,4,3,25
69,67,68,80,84,67,76,80,76,12,7,0,4,6,15
83,84,66,70,64,83,90,61,83,8,3,2,7,4,31
88,72,79,90,70,75,77,81,67,4,6,0,9,7,13
83,66,93,68,74,66,81,71,94,5,7,0,6,3,23
83,68,63,61,70,75,74,92,75,5,4,5,6,1,22
89,89,68,63,75,86,87,63,63,5,5,4,7,8,19
90,61,75,93,90,85,85,66,78,9,1,4,6,9,3
91,62,71,87,64,68,90,73,94,7,9,6,4,2,22
66,69,63,81,80,90,81,71,73,6,5,6,3,1,1
61,74,91,81,80,93,90,94,80,10,2,3,4,8,6
92,74,71,68,84,63,88,89,69,8,6,3,4,5,29
64,74,91,73,68,76,62,82,63,10,5,2,7,3,5
72,85,77,88,91,88,78,91,83,8,5,6,1,9,17
74,86,65,84,66,84,62,69,79,5,6,0,3,4,4
88,80,67,91,66,84,61,62,85,6,7,0,3,1,22
76,75,78,86,94,84,64,92,65,12,9,0,6,3,28
73,68,91,92,87,65,94,90,66,11,7,0,8,4,15
63,61,79,91,78,83,76,66,61,11,6,0,1,1,30
60,64,93,93,81,89,81,63,68,7,8,3,9,1,28
76,93,65,63,86,88,88,93,78,9,4,5,5,2,33
72,92,90,67,64,83,60,87,84,8,9,0,1,6,18
85,67,77,91,64,92,84,83,75,5,6,5,6,8,22
81,84,69,71,88,60,75,93,74,11,3,3,7,8,17
82,65,74,93,72,73,67,83,72,5,2,3,4,4,26
74,69,86,77,75,76,81,94,83,5,7,6,7,8,16
70,64,73,76,76,88,71,75,60,12,9,1,7,6,18
71,67,61,65,68,61,72,86,86,7,5,5,6,3,32
77,92,70,91,83,65,84,61,73,4,1,2,8,2,20
60,85,74,91,66,86,79,63,64,10,1,3,7,2,20
91,94,76,84,65,71,72,81,81,5,2,0,2,3,15
66,67,71,67,80,85,68,90,82,7,2,6,2,5,21
71,85,61,87,69,80,64,70,93,6,7,6,4,3,0
82,69,71,80,72,94,60,66,67,8,2,1,8,8,29
81,91,93,69,86,74,80,70,68,6,2,3,2,8,16
73,60,94,70,88,80,94,81,66,5,8,5,7,6,4
81,79,87,79,71,84,81,61,71,10,7,1,3,7,10
60,77,90,94,94,84,70,64,86,6,3,4,1,3,24
78,62,85,92,67,76,74,71,76,12,2,3,7,1,16
91,76,85,64,88,90,87,88,69,12,8,4,1,8,15
92,69,62,67,83,74,94,66,77,7,9,5,8,8,29
81,64,61,82,76,71,73,74,65,7,7,5,1,7,28
78,90,65,84,82,75,76,65,82,6,2,2,5,6,9
83,67,76,86,85,68,89,93,94,4,8,5,8,6,6
69,91,87,70,86,91,89,81,71,4,8,6,1,9,19
63,93,69,61,82,74,87,84,65,4,6,3,4,3,24
77,86,67,84,90,77,93,66,83,7,6,5,4,7,3
69,72,60,62,66,94,68,78,69,12,6,2,1,9,8
