Suggested Job Role,Mapping Suggested Job Role
0,Applications Developer
1,Business Intelligence Analyst
2,Business Systems Analyst
3,CRM Business Analyst
4,CRM Technical Developer
5,Data Architect
6,Database Administrator
7,Database Developer
8,Database Manager
9,Design & UX
10,E-Commerce Analyst
11,Information Security Analyst
12,Information Technology Auditor
13,Information Technology Manager
14,Mobile Applications Developer
15,Network Engineer
16,Network Security Administrator
17,Network Security Engineer
18,Portal Administrator
19,Programmer Analyst
20,Project Manager
21,Quality Assurance Associate
22,Software Developer
23,Software Engineer
24,Software Quality Assurance (QA) / Testing
25,Software Systems Engineer
26,Solutions Architect
27,Systems Analyst
28,Systems Security Administrator
29,Technical Engineer
30,Technical Services/Help Desk/Tech Support
31,Technical Support
32,UX Designer
33,Web Developer
